tree,group,Early_period,Late_period,diff,mat,map,maa,lat,lon,spp,fixer,lifeform,prediff,aidiff,tmpdiff
112 _XX_ KEDN-L,g,2.707486891778056,-0.9780295539897496,-3.6855164457678056,5.983333445187562,13.597051512316252,0.16688816781674767,43.133,82.85,Picea schrenkiana,n,e,2.4655992023169695,0.017947255941347717,0.7540640416990971
104 _XX_ kirdry,g,-1.022361436684478,-1.1920691512129054,-0.16970771452842737,-2.2552564435853406,38.407564761088445,1.2537755728138278,67.95,20.03,Pinus sylvestris,n,e,2.9333750147966953,0.03145927689550254,0.47431079387888886
104 _XX_ kirmoist,g,-0.2525603129872388,-1.3949041040832446,-1.142343791096006,-2.2552564435853406,38.407564761088445,1.2537755728138278,67.95,20.03,Pinus sylvestris,n,e,3.3971426850273545,0.04247052002270735,0.5552381221027609
064 _XX_ lai,a,0.5494696031064691,-1.2497837811800503,-1.7992533842865193,10.169487374763076,52.31320607593426,0.7864928390009301,48.18,16.2,Quercus petraea,n,d,-2.188498117984871,-0.06546263404734287,0.6854212352207725
082 _XX_ Larix cajanderi,g,-1.9712995450935624,-1.2093839149607424,0.76191563013282,-13.676154103254278,17.684872121860582,0.7382258455703496,70,148,Larix cajanderi,n,d,-2.469941928375899,-0.06504424146913479,0.8349062928179808
110 _XX_ Larix decidua,g,-1.4493798012603514,-0.9614469945058854,0.48793280675446593,0.3714102585823872,177.0617978499486,3.7287113007379378,46.408,7.792,Larix decidua,n,d,9.556623201828074,-0.053485836111361706,0.8850781048667993
072 _XX_ Larix decidua,g,-1.7608010342601423,-1.4774899275412676,0.2833111067188747,0.5703846351840557,172.46282353890248,4.288287106734647,46,10,Larix decidua,n,d,5.777891590776619,-0.17421929317256346,0.9397032147039583
159 _XX_ Larix decidua,g,-3.236350538127497,-2.504357302896976,0.731993235230521,0.3714102585823872,177.0617978499486,3.7287113007379378,46.433,7.8,Larix decidua,n,d,14.122403005500871,0.010939230759888119,0.8702922157894868
029 _XX_ Larix decidua,g,-5.393187853424117,-5.531294587413761,-0.1381067339896438,3.00589747197735,137.30589957573474,2.492384915741437,45.018,6.5355,Larix decidua,n,d,5.842142879395254,-0.062179491799665865,0.8869047435266628
084 _XX_ Larix gmelinii,g,-1.5044477311678766,-1.5577848027167314,-0.05333707154885481,-12.882436105198202,22.299615797935388,0.910450561976414,72,102,Larix gmelinii,n,d,-1.5921626095733963,-0.03332417459516568,0.8950396492959016
027 _XX_ Larix gmelinii,g,-0.8785973850986308,-4.360382062159491,-3.4817846770608605,-13.27730790252487,22.94038503017181,0.8811667343218852,70.633,103.35,Larix gmelinii,n,d,-1.1369566710098873,-0.025668520578620235,0.5455141418900796
184 _XX_ Larix sibirica,g,2.3120248650041804,2.0752563999746187,-0.23676846502956161,-1.4553846368709435,44.45397519178879,0.939726940032146,54.4,89.95,Larix sibirica,n,d,-3.132218327555613,-0.05972933304679462,0.6886114914130257
064 _XX_ lch,a,-2.358830183447785,-0.2192649371699972,2.139565246277788,7.606795006656112,127.63654078214596,3.305580527347758,55.27,-3.43,Quercus robur,n,d,-7.624675466597225,-0.2812938864354817,0.4482047322872855
161 _XX_ liriodendron,a,-2.154102160934367,-5.601183068899426,-3.4470809079650593,9.95858992085052,105.06320699850718,1.2913394045612694,41.067,-74.017,Liriodendron tulipifera,n,d,14.033766204660594,0.11629260387439788,0.4032467773982482
108 _XX_ LLO,g,-0.677369053066538,-2.2922273534837245,-1.6148583004171866,13.070128452472195,55.651795790717,0.673861108333194,41.72,2,Pinus sylvestris,n,e,-8.537940913759485,-0.12626751892200305,0.9895177497934569
099 _XX_ LS halepensis,g,-4.408588661963944,-4.144806528968028,0.26378213299591646,9.781666859678731,46.56589823930692,0.5164650122799957,40.288,-0.807,Pinus halepensis,n,e,-1.2669642277124566,-0.03227548994096541,1.0388654828572488
099 _XX_ LS Nigra,g,-2.0928721652261206,-2.856463303082805,-0.7635911378566842,9.781666859678731,46.56589823930692,0.5164650122799957,40.329,-0.8,Pinus nigra,n,e,-2.221792899593922,-0.03838243368727584,0.9147339046168383
099 _XX_  LS pinaster,g,-3.790472534562916,-3.877441954525203,-0.08696941996228702,9.781666859678731,46.56589823930692,0.5164650122799957,40.329,-0.807,Pinus pinaster,n,e,-3.036854792041936,-0.04729336791323491,0.9693877465155403
015 _XX_ M200,g,-0.864669045721323,-1.4744602305364678,-0.6097911848151448,-1.3089743721657074,36.59961605438819,1.1666362022889183,68.5,27.5,Pinus sylvestris,n,e,3.5914965559836105,0.03861856288005483,0.3294217604763654
