year,SPEI_mean,tree,lat,lon
2012,-0.06909060345164367,002 _XX_ Abies alba,46.91,6.79
2013,1.1265639322144645,002 _XX_ Abies alba,46.91,6.79
2014,-0.4669946538550513,002 _XX_ Abies alba,46.91,6.79
2015,-0.8401092690016542,002 _XX_ Abies alba,46.91,6.79
2016,0.9991703682712146,002 _XX_ Abies alba,46.91,6.79
2017,-1.160107638154711,002 _XX_ Abies alba,46.91,6.79
2018,-0.6209195447819573,002 _XX_ Abies alba,46.91,6.79
1901,-0.8853472113609314,003 _XX_ Sandringham,52.833,0.5
1902,0.24455600125449045,003 _XX_ Sandringham,52.833,0.5
1903,1.1740682747747218,003 _XX_ Sandringham,52.833,0.5
1904,-0.28479800054005217,003 _XX_ Sandringham,52.833,0.5
1905,-0.6610811906201499,003 _XX_ Sandringham,52.833,0.5
1906,-0.496462025812694,003 _XX_ Sandringham,52.833,0.5
1907,0.39675173269850866,003 _XX_ Sandringham,52.833,0.5
1908,0.07404477415340287,003 _XX_ Sandringham,52.833,0.5
1909,0.43732835565294537,003 _XX_ Sandringham,52.833,0.5
1910,-0.06687793082424573,003 _XX_ Sandringham,52.833,0.5
1911,-1.0212304166385107,003 _XX_ Sandringham,52.833,0.5
1912,0.9090232316936765,003 _XX_ Sandringham,52.833,0.5
1913,-0.3368437758513859,003 _XX_ Sandringham,52.833,0.5
1914,-1.0663460407938277,003 _XX_ Sandringham,52.833,0.5
1915,0.19455717311107687,003 _XX_ Sandringham,52.833,0.5
1916,1.0264169318335397,003 _XX_ Sandringham,52.833,0.5
1917,0.12261574396065303,003 _XX_ Sandringham,52.833,0.5
1918,-0.47917310680661884,003 _XX_ Sandringham,52.833,0.5
1919,0.5197771755712373,003 _XX_ Sandringham,52.833,0.5
1920,0.4289275711136205,003 _XX_ Sandringham,52.833,0.5
1921,-2.0193195172718594,003 _XX_ Sandringham,52.833,0.5
1922,0.812271237373352,003 _XX_ Sandringham,52.833,0.5
1923,0.18734562849359854,003 _XX_ Sandringham,52.833,0.5
1924,0.8865259311028889,003 _XX_ Sandringham,52.833,0.5
1925,-0.5155616993350642,003 _XX_ Sandringham,52.833,0.5
1926,-0.17820443425859725,003 _XX_ Sandringham,52.833,0.5
1927,0.37140650834356037,003 _XX_ Sandringham,52.833,0.5
1928,-0.0928294610764299,003 _XX_ Sandringham,52.833,0.5
1929,-1.1244724988937378,003 _XX_ Sandringham,52.833,0.5
1930,0.48626347311905455,003 _XX_ Sandringham,52.833,0.5
1931,1.3525116017886571,003 _XX_ Sandringham,52.833,0.5
1932,0.7215678819588253,003 _XX_ Sandringham,52.833,0.5
1933,-0.7255446740559169,003 _XX_ Sandringham,52.833,0.5
1934,-1.1651999013764518,003 _XX_ Sandringham,52.833,0.5
1935,-0.09441099929556783,003 _XX_ Sandringham,52.833,0.5
1936,0.7239744037921939,003 _XX_ Sandringham,52.833,0.5
1937,1.0611751300415821,003 _XX_ Sandringham,52.833,0.5
1938,-0.8071966128689902,003 _XX_ Sandringham,52.833,0.5
1939,0.602846165320703,003 _XX_ Sandringham,52.833,0.5
1940,-0.1714970746210643,003 _XX_ Sandringham,52.833,0.5
